customer_id,age,gender,marital_status,education_level,employment_status,income,city,credit_score,account_age_months,card_type,credit_limit,annual_fee,interest_rate,num_products,has_loan,has_savings_account,monthly_spending,avg_transaction_amount,monthly_transactions,online_transactions,international_transactions,cash_withdrawals,utilization_ratio,payment_delay_count,late_payment_amount,app_logins_monthly,website_visits_monthly,customer_service_calls,complaints_count,support_satisfaction,reward_points,offers_received,offers_redeemed,financial_stress_score,engagement_score,customer_value_score,churn_risk_score,churn_probability,churned
CUST-0000018,48,Female,Married,Bachelor,Employed,122428.82,San Antonio,533,53,Platinum,58500,450,20.57,1,0,0,33825.85,225.51,150,68,0,1,0.533,0,0,13,9,0,0,3.9,49116,3,0,36.07,52.28,100,8.61,0.0861,1
CUST-0000019,32,Male,Single,Bachelor,Student,66680.46,Other,850,8,Gold,22900,150,13.3,1,0,0,6984.46,91.9,76,41,7,1,0.279,1,29.05,13,7,2,1,2.5,6801,3,0,25.47,64.89,60.55,34.86,0.3486,1
CUST-0000020,25,Male,Single,High School,Employed,23232.11,Other,631,163,Standard,1000,0,17.02,1,0,1,345.01,115,3,2,0,1,0.483,0,0,12,10,5,3,1,447,4,0,26.09,58.63,57.44,48.3,0.483,0
CUST-0000021,63,Male,Married,Bachelor,Retired,62015.58,Other,579,77,Standard,8600,0,21.38,2,1,0,4694.41,95.8,49,19,0,5,0.527,1,31.77,8,4,1,0,3,5610,6,3,48,69.64,38.93,14.46,0.1446,0
CUST-0000022,41,Female,Married,Associate,Employed,103044.01,San Diego,823,48,Standard,11100,0,11.7,3,0,0,1817.87,90.89,20,10,0,0,0.174,0,0,14,6,4,1,2.8,1655,4,2,10.78,92,22.93,5.25,0.0525,0
CUST-0000023,44,Male,Married,Bachelor,Employed,102415.21,Other,642,48,Standard,10900,0,17.08,2,1,1,3691.46,40.12,92,71,0,1,0.363,4,284.83,16,4,2,2,1.2,4713,6,2,83.52,87.45,37.05,97.27,0.9727,1
CUST-0000024,25,Female,Married,High School,Employed,56607.89,Other,694,50,Silver,13200,50,16.23,2,1,1,5612.21,67.62,83,43,3,2,0.605,0,0,10,8,0,0,4.3,4731,6,1,32.86,66.95,62.06,6.19,0.0619,0
CUST-0000025,36,Female,Single,High School,Employed,25434.5,New York,588,35,Platinum,7400,450,19.94,2,1,0,2202.77,36.71,60,35,2,0,0.324,0,0,7,6,4,1,3.4,3302,5,1,25.8,49.72,60,9.6,0.096,0
CUST-0000026,45,Female,Single,Bachelor,Employed,41028.07,Other,680,26,Platinum,15800,450,17.66,2,0,0,5091.07,97.91,52,13,5,0,0.398,0,0,14,7,2,0,3.9,4570,3,1,14.7,72.15,65.33,6.36,0.0636,0
CUST-0000027,29,Female,Single,Bachelor,Employed,40343.62,San Antonio,726,37,Gold,18300,150,13.64,2,1,0,4094.16,36.88,111,70,0,1,0.241,2,28.52,14,6,3,1,2.7,5515,2,0,52.45,65.23,63.84,72.61,0.7261,0
CUST-0000028,48,Male,Single,Master,Self-Employed,44875.97,San Antonio,672,3,Silver,12500,50,15.64,2,0,0,5716.11,96.88,59,44,9,2,0.576,0,0,13,3,0,0,4.2,5712,3,0,24.47,53.91,29.98,8.16,0.0816,1
CUST-0000029,36,Male,Married,High School,Employed,39661.92,New York,607,138,Gold,15900,150,20.85,1,1,1,7797.38,101.26,77,52,19,1,0.538,0,0,12,5,1,0,4.2,9342,5,3,32.4,69.57,81.97,8.32,0.0832,0
CUST-0000030,40,Female,Married,Bachelor,Employed,62930.28,Houston,731,13,Silver,11000,50,16.05,1,1,0,4737.57,41.56,114,37,5,0,0.558,0,0,12,3,0,0,4.8,4820,3,2,28.85,71.52,44.79,3.68,0.0368,0
CUST-0000031,36,Male,Married,High School,Self-Employed,66961.43,Other,673,60,Silver,15400,50,15.98,1,0,0,7589.03,79.88,95,27,15,0,0.504,1,15,7,2,1,1,2.4,11366,2,1,48.65,42.05,57.15,80.33,0.8033,1
CUST-0000032,68,Female,Married,Bachelor,Self-Employed,229090.92,Other,812,4,Standard,24700,0,9.55,2,1,1,6766.5,104.1,65,46,2,2,0.25,2,143.69,11,12,0,0,3.5,7396,1,1,43.05,83.13,35.61,18.38,0.1838,0
CUST-0000033,43,Female,Single,Doctorate,Employed,73483.7,Chicago,582,39,Silver,22600,50,20.4,2,0,1,9350.51,114.03,82,18,10,1,0.377,0,0,16,9,0,0,5,10509,2,0,30.22,71.24,57.01,2.74,0.0274,0
CUST-0000034,30,Male,Married,High School,Employed,31360.79,Los Angeles,644,15,Gold,10800,150,17.59,1,0,1,5916.83,39.45,150,81,5,0,0.552,1,55.83,6,8,1,0,3.2,5480,3,1,44.86,33.17,59.25,51.05,0.5105,0
CUST-0000035,54,Male,Married,Bachelor,Employed,113833.98,Houston,674,140,Silver,31400,50,17.46,1,0,1,11307.79,120.3,94,24,18,2,0.409,0,0,18,5,1,0,4.6,12064,4,2,34.41,76.24,86.51,3.67,0.0367,0
CUST-0000036,28,Female,Married,High School,Employed,28337.13,Other,700,22,Silver,7400,50,20.61,1,0,0,2803.04,100.11,28,6,1,0,0.423,0,0,15,2,4,1,3,3700,5,1,26.95,62.99,31.8,10.59,0.1059,0
CUST-0000037,46,Female,Married,Master,Employed,118164.18,San Diego,843,6,Standard,16800,0,11.43,3,1,0,3196.31,44.39,72,16,0,0,0.187,0,0,12,8,0,0,3.8,2954,2,1,2.8,78.34,24.93,1.16,0.0116,0
CUST-0000038,18,Female,Single,Associate,Retired,44732.08,Other,643,21,Silver,14200,50,17.19,1,0,1,8769.1,92.31,95,47,18,0,0.689,0,0,5,10,2,1,3,7513,2,2,41.08,56.15,52.32,48.3,0.483,1
CUST-0000039,26,Female,Married,High School,Employed,29605.8,Other,667,28,Gold,8700,150,21.53,1,1,1,5785.76,99.75,58,46,15,1,0.798,0,0,20,11,0,0,3.7,6164,4,2,39.9,92.39,62.33,4.57,0.0457,0
CUST-0000040,46,Female,Divorced,Associate,Employed,31817.85,Other,658,63,Silver,9700,50,19.3,2,0,1,3896.06,102.53,38,16,0,1,0.481,0,0,16,4,1,1,2.9,5054,3,0,23.95,60.94,54.84,12.9,0.129,0
CUST-0000041,53,Male,Married,High School,Self-Employed,20005.19,Other,622,125,Standard,1000,0,19.31,1,0,1,201.84,100.92,2,1,0,2,0.228,0,0,14,6,1,1,4,284,2,2,21.06,65.19,45.85,9.87,0.0987,0
CUST-0000042,46,Male,Married,High School,Employed,96170.2,Chicago,717,25,Platinum,41100,450,14.63,2,1,1,8204.35,55.06,149,38,0,1,0.241,0,0,15,12,2,1,2.2,9961,4,0,17.04,80.93,74.22,5.92,0.0592,0
CUST-0000043,42,Female,Single,Master,Employed,170277.78,Los Angeles,668,74,Standard,20300,0,18.57,1,1,0,12451.61,83.01,150,42,7,1,0.593,1,96.99,14,2,2,0,3.3,17141,5,0,45.07,51.34,53.8,33.2,0.332,0
CUST-0000044,40,Female,Single,High School,Employed,79433.85,Other,589,62,Silver,20100,50,18.9,4,0,0,5344.65,48.15,111,41,1,1,0.32,0,0,11,5,5,3,3.2,4441,2,0,24.54,74.67,54.32,5.01,0.0501,1
CUST-0000045,24,Female,Married,Associate,Employed,96631.98,Other,609,84,Standard,13000,0,18.19,1,1,1,3450.46,93.26,37,22,4,2,0.338,0,0,11,12,3,1,2.9,4586,2,1,13.42,58.91,42.66,16.61,0.1661,0
CUST-0000046,34,Female,Single,Bachelor,Employed,79396.91,Houston,675,42,Silver,17200,50,17.37,2,0,0,3429.73,38.11,90,69,0,1,0.194,0,0,13,3,0,0,3.8,4541,1,0,7.75,53.68,48,2.24,0.0224,0
CUST-0000047,38,Male,Divorced,High School,Unemployed,51187.51,New York,604,5,Platinum,22700,450,18.57,2,1,0,16430.68,109.54,150,58,15,3,0.706,1,128.21,8,7,0,0,3.2,17100,2,0,51.86,45.85,83.47,47.2,0.472,0
CUST-0000048,57,Female,Married,Master,Student,48558.17,Philadelphia,611,72,Gold,17900,150,18.53,3,0,0,5629.9,106.22,53,27,0,0,0.31,0,0,13,9,1,0,3,8010,3,0,21.54,80.35,71.26,4.02,0.0402,0
CUST-0000049,48,Male,Married,Bachelor,Employed,132754.81,Houston,850,11,Silver,30300,50,10.94,3,0,1,6487.73,69.02,94,51,7,0,0.222,0,0,12,4,0,0,3.5,5705,5,0,13.87,71.09,38.56,1.82,0.0182,0
CUST-0000050,21,Male,Divorced,High School,Retired,95879.77,New York,625,66,Platinum,44000,450,18.61,1,0,1,28677.28,191.18,150,110,8,1,0.772,1,69.82,10,5,0,0,3.2,41896,5,3,54.47,72.29,100,28.14,0.2814,1
CUST-0000051,48,Female,Married,High School,Self-Employed,40724.16,Other,669,90,Silver,11600,50,18.66,1,0,1,3225.28,76.79,42,11,0,0,0.28,0,0,18,6,0,0,4.4,4189,1,0,15.31,69.54,58,1.59,0.0159,0
CUST-0000052,38,Male,Married,Bachelor,Unemployed,106117.45,Other,692,293,Platinum,48700,450,15.36,2,0,0,27484.48,183.23,150,75,9,2,0.748,0,0,4,3,1,1,3.8,40565,1,0,38.66,37.96,100,26.62,0.2662,0
CUST-0000053,35,Male,Married,Bachelor,Employed,121106.26,New York,570,10,Silver,29000,50,21.96,3,0,0,12443.59,82.96,150,112,5,2,0.528,2,28.04,13,8,0,0,3.4,15864,6,1,63.81,92.58,58.01,11.87,0.1187,0
CUST-0000054,51,Female,Single,High School,Employed,71265.76,San Diego,614,48,Standard,6300,0,16.42,1,1,0,3541.76,95.72,37,19,1,0,0.554,0,0,7,4,0,0,5,5301,1,0,21.31,35.31,29.53,9.89,0.0989,0
CUST-0000055,57,Female,Single,High School,Employed,44857.09,New York,664,8,Platinum,23100,450,16.31,1,0,0,18928.27,126.19,150,90,15,1,0.765,1,15,9,6,3,3,2,25201,3,1,58.88,40.08,100,94.19,0.9419,1
CUST-0000056,56,Female,Divorced,Doctorate,Employed,84791.99,San Antonio,744,8,Standard,7100,0,17.41,1,1,1,2656.49,73.79,36,18,1,0,0.486,0,0,8,10,0,0,3.8,3388,0,0,25.84,42.74,25.09,25.89,0.2589,0
CUST-0000057,33,Female,Married,Master,Employed,110782.83,Houston,654,74,Standard,10400,0,19.71,1,1,0,1618.3,53.94,30,20,2,1,0.146,1,90.31,18,12,0,0,3.3,1470,5,0,25.06,70.94,27.28,20.43,0.2043,0
CUST-0000058,39,Male,Married,Bachelor,Employed,136996.84,Philadelphia,744,153,Standard,18900,0,15.3,1,1,1,8997.66,59.98,150,71,22,3,0.525,1,24.01,6,2,4,2,2.2,10079,4,1,43.14,36.1,75,78.45,0.7845,1
CUST-0000059,48,Male,Single,High School,Employed,31583.95,Other,761,33,Silver,5500,50,14.92,3,1,0,867.5,86.75,10,2,1,2,0.17,0,0,6,6,1,0,3.8,1103,3,1,10.02,60.16,44.88,1.45,0.0145,0
CUST-0000060,56,Female,Married,Bachelor,Unemployed,81348.18,Houston,593,6,Standard,12300,0,21.47,3,0,1,6811.09,87.32,78,37,0,0,0.634,0,0,21,4,0,0,5,8938,3,2,40.86,100,30.67,1.39,0.0139,0
CUST-0000061,37,Female,Single,Bachelor,Employed,48225.56,Other,731,36,Standard,4400,0,16.26,3,0,0,662.05,82.76,8,4,1,2,0.193,1,44.64,15,5,6,3,1.4,750,1,0,26.01,65,27.42,54.82,0.5482,1
CUST-0000062,41,Female,Divorced,Bachelor,Self-Employed,75775.09,Other,795,82,Silver,20500,50,14.8,2,1,1,4859.67,60,81,55,0,4,0.244,0,0,12,5,4,2,2.8,6258,1,0,13.64,65.43,54.02,19.03,0.1903,1
CUST-0000063,29,Female,Married,Associate,Self-Employed,82574.38,San Diego,850,8,Standard,7700,0,12.34,1,0,1,2064.05,98.29,21,15,0,1,0.306,1,15,27,3,0,0,2.4,2460,1,0,39.38,77.09,23.32,13.88,0.1388,0
CUST-0000064,28,Male,Widowed,Associate,Employed,29825.62,San Diego,705,102,Standard,4900,0,16.53,3,1,1,2272.81,98.82,23,5,0,1,0.531,0,0,12,5,0,0,3.9,2881,3,2,29.3,92.29,43.27,1.31,0.0131,0
CUST-0000065,54,Female,Single,High School,Employed,138556.92,Other,750,44,Silver,30500,50,17.02,3,0,1,14456.34,96.38,150,68,9,3,0.459,0,0,15,9,2,0,3.3,21645,1,0,23.05,78.05,78.95,3.66,0.0366,0
CUST-0000066,61,Male,Married,Master,Employed,76632.5,New York,722,6,Standard,9500,0,16.45,2,0,0,1312.88,52.52,25,6,2,2,0.195,0,0,18,3,4,3,2.7,1623,4,0,7.97,69.67,17.54,8.64,0.0864,0
CUST-0000067,43,Female,Divorced,High School,Employed,51409.85,Phoenix,726,3,Silver,11100,50,17.93,2,0,0,2322.96,62.78,37,16,0,1,0.239,0,0,11,5,3,2,3.5,2535,4,1,10.49,56.63,44.3,4.85,0.0485,0
CUST-0000068,57,Male,Married,Associate,Employed,16084.01,Other,741,45,Standard,1100,0,14.74,2,0,1,216.25,72.08,3,1,0,1,0.207,0,0,17,5,2,0,4.7,203,3,2,10.68,83.03,28.01,1.35,0.0135,0
CUST-0000069,48,Male,Single,Bachelor,Retired,112768.34,New York,625,63,Gold,41900,150,19.52,1,1,1,16317.19,108.78,150,84,1,1,0.476,0,0,16,11,0,0,5,15324,5,3,22.08,92.56,95.97,1.66,0.0166,0
CUST-0000070,35,Male,Married,Associate,Employed,35336.47,Other,651,25,Silver,6500,50,19.4,2,1,0,1530.21,109.3,14,5,2,0,0.297,0,0,15,5,0,0,3.6,2219,3,1,16.72,73.03,35.07,2.48,0.0248,0
CUST-0000071,48,Female,Single,Bachelor,Employed,94176.78,Philadelphia,610,26,Standard,13500,0,17.73,2,0,0,3633.89,98.21,37,11,1,2,0.297,0,0,10,3,3,2,2.9,3941,4,2,25.07,60.71,29.66,28.14,0.2814,0
CUST-0000072,63,Female,Married,Master,Employed,102664.62,New York,561,35,Standard,14300,0,20.22,2,1,0,4459.65,84.14,53,34,11,0,0.366,0,0,12,7,4,1,2.4,5765,2,1,17.43,70.93,30.37,7.2,0.072,0
CUST-0000073,43,Male,Married,High School,Employed,38569.22,Philadelphia,650,5,Standard,4600,0,15.58,1,1,1,2334.49,27.15,86,67,8,2,0.523,0,0,9,5,2,0,3.7,2871,4,1,32.92,50.93,23.19,22.75,0.2275,0
CUST-0000074,64,Male,Married,High School,Unemployed,89530.38,Other,839,5,Silver,20700,50,13.49,4,0,1,7000.59,83.34,84,35,7,1,0.31,0,0,14,8,2,1,4.2,8802,5,0,17.18,87.29,45.84,3.65,0.0365,0
CUST-0000075,18,Male,Single,Bachelor,Employed,65091.19,Houston,721,26,Standard,5700,0,18.53,4,0,1,2227.59,79.56,28,16,0,0,0.394,0,0,9,6,2,1,2.4,2371,5,1,23.01,84.78,28.84,6.05,0.0605,0
CUST-0000076,54,Female,Single,Associate,Self-Employed,36927.94,Philadelphia,718,61,Standard,4300,0,17,1,0,0,1731.64,61.84,28,12,0,1,0.406,0,0,13,4,2,1,4.3,1835,2,2,24.51,61.97,37.35,19.48,0.1948,0
CUST-0000077,45,Female,Single,Bachelor,Retired,165421.16,Houston,750,55,Standard,19700,0,12.3,1,0,1,5437.58,36.25,150,65,23,0,0.305,0,0,11,6,0,0,5,5968,4,1,14.59,59.18,43.25,3.22,0.0322,0
CUST-0000078,40,Male,Married,Master,Employed,75398.85,Other,647,101,Standard,5700,0,16.61,1,0,0,1121.56,31.15,36,23,0,1,0.281,0,0,13,2,4,0,5,920,3,1,27.53,54.87,40.48,22.78,0.2278,0
CUST-0000079,45,Male,Single,Bachelor,Unemployed,90387.35,Other,665,19,Standard,12100,0,19.37,3,1,1,3785.69,68.83,55,15,0,2,0.333,0,0,12,9,1,0,3.6,3398,4,2,23.57,89.99,29.98,2.2,0.022,0
CUST-0000080,18,Female,Single,Master,Employed,41867.52,Philadelphia,653,37,Standard,2500,0,16.82,2,1,1,1110.36,92.53,12,4,0,0,0.422,0,0,14,4,2,1,3.1,1129,4,2,30.58,80.44,28.52,9.79,0.0979,0
CUST-0000081,41,Female,Single,Bachelor,Self-Employed,77622.73,Los Angeles,578,7,Standard,9600,0,20.23,3,0,1,3856.09,107.11,36,25,0,1,0.453,0,0,8,7,2,0,4.5,3637,2,0,26.26,56.82,28.89,2.95,0.0295,0
CUST-0000082,48,Male,Married,Bachelor,Employed,107277.85,Other,807,62,Gold,39000,150,10.24,1,0,1,6385.92,114.03,56,16,17,1,0.177,0,0,10,9,0,0,4.7,7821,2,0,0.35,56.77,76.45,2.77,0.0277,0
CUST-0000083,63,Female,Divorced,High School,Employed,53779.26,Other,827,46,Standard,4900,0,13.29,3,0,1,1200.39,109.13,11,5,0,0,0.271,0,0,13,5,2,1,2.6,1169,4,1,5.89,63.5,27.52,2.84,0.0284,0
CUST-0000084,37,Female,Married,High School,Employed,38745.77,Other,730,26,Standard,3600,0,14.76,2,1,1,1104.57,84.97,13,5,0,1,0.314,0,0,8,6,0,0,4.4,1459,3,3,16.84,75.89,14.44,3.08,0.0308,0
CUST-0000085,33,Male,Divorced,High School,Retired,50439.83,San Antonio,685,25,Standard,3400,0,18.57,2,0,0,1170.57,106.42,11,3,1,2,0.41,0,0,11,1,1,0,4.5,1720,4,2,29.05,60.63,18.28,3.5,0.035,0
CUST-0000086,37,Male,Married,Associate,Employed,43069.39,Other,643,35,Silver,11200,50,17.41,1,0,1,5335.15,87.46,61,12,4,0,0.531,0,0,14,3,3,2,3,7870,5,4,33.83,78.11,45.92,22.24,0.2224,0
CUST-0000087,55,Male,Married,Master,Employed,146972.45,Other,567,4,Standard,17400,0,19.52,1,0,0,12041.86,80.28,150,98,15,1,0.66,1,15,18,5,0,0,3.6,14886,6,0,49.65,60.36,38.61,36.95,0.3695,0
CUST-0000088,48,Male,Married,Bachelor,Employed,71397.6,Other,704,37,Standard,6800,0,14.81,1,0,1,2355.62,69.28,34,14,0,2,0.486,1,16.73,16,5,2,0,3.3,1920,2,0,29.41,54.26,25.32,10.8,0.108,0
CUST-0000089,37,Female,Divorced,High School,Unemployed,41183.11,New York,598,85,Gold,13500,150,21.29,1,1,0,5097.54,73.88,69,41,2,1,0.503,1,103.88,10,7,2,0,3,4908,0,0,44.41,41.3,75.52,52.73,0.5273,0
CUST-0000090,50,Female,Single,Bachelor,Employed,61416.63,Other,777,80,Standard,7800,0,11.35,2,0,1,3615.2,95.14,38,17,5,1,0.543,0,0,15,9,0,0,4.5,4023,6,1,26.61,77.77,47.63,2.63,0.0263,0
CUST-0000091,45,Female,Single,Master,Unemployed,73195.77,Phoenix,579,50,Standard,3700,0,20.58,2,1,0,659.31,32.97,20,5,3,0,0.203,0,0,12,4,1,0,4,813,3,1,15.85,55.64,34.19,15.4,0.154,0
CUST-0000092,56,Male,Married,High School,Employed,42852.4,Philadelphia,661,31,Silver,11500,50,17.6,1,0,1,3258.54,95.84,34,15,7,1,0.364,2,15,8,7,3,1,3.5,4145,4,1,56.43,45.47,41.73,70.57,0.7057,1
CUST-0000093,34,Male,Single,Bachelor,Employed,87680.39,San Antonio,749,21,Silver,18900,50,16.69,1,0,0,8344.23,86.02,97,71,4,2,0.445,1,15,12,8,0,0,3.2,10653,1,1,43.38,61.89,60.3,25.57,0.2557,0
CUST-0000094,39,Female,Single,Bachelor,Employed,42234.15,New York,546,21,Silver,8600,50,21.48,1,0,0,2743.12,28.87,95,54,5,0,0.323,0,0,6,7,7,2,2.8,3725,2,1,15.56,51.03,32.51,28.49,0.2849,0
CUST-0000095,38,Female,Married,High School,Student,19508.06,Other,729,129,Standard,4000,0,15.49,1,0,0,538.57,59.84,9,4,2,1,0.142,0,0,12,6,2,2,2.1,760,5,0,17.73,52.07,35.7,9.04,0.0904,1
CUST-0000096,24,Male,Single,High School,Employed,44123.73,Dallas,735,35,Silver,9900,50,14.27,3,0,0,1848.73,88.03,21,11,3,2,0.191,2,119.55,9,11,5,4,1,2676,3,0,50.07,64.42,47.45,93.95,0.9395,1
CUST-0000097,47,Male,Single,Master,Employed,74419.7,Other,621,86,Standard,6000,0,18.77,1,1,0,3212.93,103.64,31,11,0,0,0.749,0,0,9,5,0,0,4.1,4749,5,1,38.69,47.34,43.42,22.98,0.2298,0
CUST-0000098,47,Female,Married,High School,Retired,39756.49,Other,643,55,Gold,13900,150,14.72,2,0,0,6668.49,111.14,60,15,0,0,0.626,0,0,16,6,0,0,3.7,5660,4,2,31.23,83.27,70.97,2.83,0.0283,0
CUST-0000099,44,Male,Married,Master,Self-Employed,144435.6,Dallas,782,21,Silver,38300,50,17.26,1,1,0,8627.74,113.52,76,55,4,2,0.291,0,0,15,6,1,1,3.6,7358,1,1,12.23,73.92,61.03,8,0.08,0
CUST-0000100,40,Male,Married,Bachelor,Student,77544.15,New York,769,18,Gold,28100,150,14.37,2,0,1,13084.93,90.24,145,81,1,1,0.463,1,26.56,23,9,5,2,2.6,19236,1,0,51.08,93.92,72.64,33.37,0.3337,1
CUST-0000101,25,Female,Married,High School,Self-Employed,19870.38,New York,839,84,Silver,7600,50,11.46,2,0,1,1500.6,53.59,28,20,0,1,0.239,0,0,12,11,1,0,4.6,1732,2,1,19.82,76.35,55.14,1.4,0.014,0
CUST-0000102,38,Male,Divorced,Bachelor,Unemployed,63421.71,San Diego,670,51,Silver,14400,50,18.3,4,0,1,8147.13,74.06,110,74,33,1,0.549,0,0,16,7,0,0,2.7,10019,5,2,40.65,100,62.83,1.6,0.016,0
CUST-0000103,39,Female,Single,Doctorate,Employed,301969.22,New York,792,14,Standard,35900,0,14.71,2,0,0,5092.2,38.29,133,50,0,0,0.162,0,0,14,8,1,0,4.5,6382,4,3,16.98,89.9,14.79,0.77,0.0077,0
CUST-0000104,33,Female,Married,Doctorate,Self-Employed,111740.61,Other,672,32,Silver,26100,50,15.82,1,0,0,3694.51,68.42,54,21,0,1,0.175,0,0,8,5,0,0,3.7,4273,3,1,14.33,48.97,51.24,8.86,0.0886,0
CUST-0000105,41,Female,Widowed,Bachelor,Employed,62892.48,Los Angeles,569,27,Gold,23800,150,22.19,3,1,0,6078.14,60.18,101,59,3,0,0.24,0,0,13,5,2,2,1.8,6993,5,3,17.7,85.44,65.5,4.3,0.043,0
CUST-0000106,49,Male,Married,High School,Employed,54202.63,Other,603,78,Platinum,23900,450,18.88,1,0,0,7025.66,111.52,63,47,7,2,0.291,0,0,16,5,4,3,2.1,9703,3,1,25.62,64.88,95.72,42.61,0.4261,0
CUST-0000107,68,Male,Single,Master,Employed,151456.9,Other,611,1,Standard,21200,0,19.65,3,0,1,9489.51,63.26,150,37,0,0,0.549,0,0,17,8,0,0,4,13956,3,1,33.42,94.99,30.91,0.99,0.0099,0
CUST-0000108,46,Other,Married,Associate,Employed,79322.29,Other,738,53,Standard,9200,0,14.55,1,0,1,5672.63,44.32,128,47,1,2,0.827,0,0,8,5,1,1,4,6350,1,1,32.53,45.95,45.04,43.14,0.4314,0
CUST-0000109,47,Female,Single,Master,Student,114955.42,Other,713,6,Standard,16100,0,14.29,1,0,0,3891.46,44.22,88,62,9,0,0.277,0,0,7,6,0,0,4.3,5728,3,1,25.36,45.84,18.27,10.1,0.101,0
